[OPTIMUM SOLVER] for the first 8 cities:
 
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Anamur, Turkey, Aksehir, Turkey, Ankara, Turkey, Antalya, Turkey, Istanbul, Turkey]---8676.923577153966 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Anamur, Turkey, Aksehir, Turkey, Antalya, Turkey, Ankara, Turkey, Istanbul, Turkey]---9641.02619683774 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Anamur, Turkey, Ankara, Turkey, Aksehir, Turkey, Antalya, Turkey, Istanbul, Turkey]---9641.02619683774 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Anamur, Turkey, Ankara, Turkey, Antalya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Anamur, Turkey, Antalya, Turkey, Ankara, Turkey, Aksehir, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Anamur, Turkey, Antalya, Turkey, Aksehir, Turkey, Ankara, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Ankara, Turkey, Anamur, Turkey, Aksehir, Turkey, Antalya, Turkey, Istanbul, Turkey]---9641.02619683774 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Ankara, Turkey, Anamur, Turkey, Antalya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Ankara, Turkey, Aksehir, Turkey, Anamur, Turkey, Antalya, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Ankara, Turkey, Aksehir, Turkey, Antalya, Turkey, Anamur, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Ankara, Turkey, Antalya, Turkey, Aksehir, Turkey, Anamur, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Ankara, Turkey, Antalya, Turkey, Anamur, Turkey, Aksehir, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Antalya, Turkey, Anamur, Turkey, Ankara, Turkey, Aksehir, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Antalya, Turkey, Anamur, Turkey, Aksehir, Turkey, Ankara, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Antalya, Turkey, Ankara, Turkey, Anamur, Turkey, Aksehir, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Antalya, Turkey, Ankara, Turkey, Aksehir, Turkey, Anamur, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Antalya, Turkey, Aksehir, Turkey, Ankara, Turkey, Anamur, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Amasya, Turkey, Antalya, Turkey, Aksehir, Turkey, Anamur, Turkey, Ankara, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Amasya, Turkey, Aksehir, Turkey, Ankara, Turkey, Antalya, Turkey, Istanbul, Turkey]---8676.923577153966 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Amasya, Turkey, Aksehir, Turkey, Antalya, Turkey, Ankara, Turkey, Istanbul, Turkey]---9641.02619683774 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Amasya, Turkey, Ankara, Turkey, Aksehir, Turkey, Antalya, Turkey, Istanbul, Turkey]---9641.02619683774 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Amasya, Turkey, Ankara, Turkey, Antalya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Amasya, Turkey, Antalya, Turkey, Ankara, Turkey, Aksehir, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Amasya, Turkey, Antalya, Turkey, Aksehir, Turkey, Ankara, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Aksehir, Turkey, Amasya, Turkey, Ankara, Turkey, Antalya, Turkey, Istanbul, Turkey]---9641.02619683774 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Aksehir, Turkey, Amasya, Turkey, Antalya, Turkey, Ankara, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Aksehir, Turkey, Ankara, Turkey, Amasya, Turkey, Antalya, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Aksehir, Turkey, Ankara, Turkey, Antalya, Turkey, Amasya, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Aksehir, Turkey, Antalya, Turkey, Ankara, Turkey, Amasya, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Aksehir, Turkey, Antalya, Turkey, Amasya, Turkey, Ankara, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Ankara, Turkey, Aksehir, Turkey, Amasya, Turkey, Antalya, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Ankara, Turkey, Aksehir, Turkey, Antalya, Turkey, Amasya, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Ankara, Turkey, Amasya, Turkey, Aksehir, Turkey, Antalya, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Ankara, Turkey, Amasya, Turkey, Antalya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Ankara, Turkey, Antalya, Turkey, Amasya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Ankara, Turkey, Antalya, Turkey, Aksehir, Turkey, Amasya, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Antalya, Turkey, Aksehir, Turkey, Ankara, Turkey, Amasya, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Antalya, Turkey, Aksehir, Turkey, Amasya, Turkey, Ankara, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Antalya, Turkey, Ankara, Turkey, Aksehir, Turkey, Amasya, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Antalya, Turkey, Ankara, Turkey, Amasya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Antalya, Turkey, Amasya, Turkey, Ankara, Turkey, Aksehir, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Anamur, Turkey, Antalya, Turkey, Amasya, Turkey, Aksehir, Turkey, Ankara, Turkey, Istanbul, Turkey]---14461.539295256609 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Amasya, Turkey, Anamur, Turkey, Aksehir, Turkey, Antalya, Turkey, Istanbul, Turkey]---9641.02619683774 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Amasya, Turkey, Anamur, Turkey, Antalya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Amasya, Turkey, Aksehir, Turkey, Anamur, Turkey, Antalya, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Amasya, Turkey, Aksehir, Turkey, Antalya, Turkey, Anamur, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Amasya, Turkey, Antalya, Turkey, Aksehir, Turkey, Anamur, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Amasya, Turkey, Antalya, Turkey, Anamur, Turkey, Aksehir, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Anamur, Turkey, Amasya, Turkey, Aksehir, Turkey, Antalya, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Anamur, Turkey, Amasya, Turkey, Antalya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Anamur, Turkey, Aksehir, Turkey, Amasya, Turkey, Antalya, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Anamur, Turkey, Aksehir, Turkey, Antalya, Turkey, Amasya, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Anamur, Turkey, Antalya, Turkey, Aksehir, Turkey, Amasya, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Anamur, Turkey, Antalya, Turkey, Amasya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Aksehir, Turkey, Anamur, Turkey, Amasya, Turkey, Antalya, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Aksehir, Turkey, Anamur, Turkey, Antalya, Turkey, Amasya, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Aksehir, Turkey, Amasya, Turkey, Anamur, Turkey, Antalya, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Aksehir, Turkey, Amasya, Turkey, Antalya, Turkey, Anamur, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Aksehir, Turkey, Antalya, Turkey, Amasya, Turkey, Anamur, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Aksehir, Turkey, Antalya, Turkey, Anamur, Turkey, Amasya, Turkey, Istanbul, Turkey]---14461.539295256609 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Antalya, Turkey, Anamur, Turkey, Aksehir, Turkey, Amasya, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Antalya, Turkey, Anamur, Turkey, Amasya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Antalya, Turkey, Aksehir, Turkey, Anamur, Turkey, Amasya, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Antalya, Turkey, Aksehir, Turkey, Amasya, Turkey, Anamur, Turkey, Istanbul, Turkey]---14461.539295256609 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Antalya, Turkey, Amasya, Turkey, Aksehir, Turkey, Anamur, Turkey, Istanbul, Turkey]---14461.539295256609 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Ankara, Turkey, Antalya, Turkey, Amasya, Turkey, Anamur, Turkey, Aksehir, Turkey, Istanbul, Turkey]---15425.641914940383 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Amasya, Turkey, Anamur, Turkey, Ankara, Turkey, Aksehir, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Amasya, Turkey, Anamur, Turkey, Aksehir, Turkey, Ankara, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Amasya, Turkey, Ankara, Turkey, Anamur, Turkey, Aksehir, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Amasya, Turkey, Ankara, Turkey, Aksehir, Turkey, Anamur, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Amasya, Turkey, Aksehir, Turkey, Ankara, Turkey, Anamur, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Amasya, Turkey, Aksehir, Turkey, Anamur, Turkey, Ankara, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Anamur, Turkey, Amasya, Turkey, Ankara, Turkey, Aksehir, Turkey, Istanbul, Turkey]---11569.231436205288 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Anamur, Turkey, Amasya, Turkey, Aksehir, Turkey, Ankara, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Anamur, Turkey, Ankara, Turkey, Amasya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Anamur, Turkey, Ankara, Turkey, Aksehir, Turkey, Amasya, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Anamur, Turkey, Aksehir, Turkey, Ankara, Turkey, Amasya, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Anamur, Turkey, Aksehir, Turkey, Amasya, Turkey, Ankara, Turkey, Istanbul, Turkey]---14461.539295256609 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Ankara, Turkey, Anamur, Turkey, Amasya, Turkey, Aksehir, Turkey, Istanbul, Turkey]---12533.334055889061 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Ankara, Turkey, Anamur, Turkey, Aksehir, Turkey, Amasya, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Ankara, Turkey, Amasya, Turkey, Anamur, Turkey, Aksehir, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Ankara, Turkey, Amasya, Turkey, Aksehir, Turkey, Anamur, Turkey, Istanbul, Turkey]---14461.539295256609 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Ankara, Turkey, Aksehir, Turkey, Amasya, Turkey, Anamur, Turkey, Istanbul, Turkey]---14461.539295256609 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Ankara, Turkey, Aksehir, Turkey, Anamur, Turkey, Amasya, Turkey, Istanbul, Turkey]---15425.641914940383 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Aksehir, Turkey, Anamur, Turkey, Ankara, Turkey, Amasya, Turkey, Istanbul, Turkey]---13497.436675572835 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Aksehir, Turkey, Anamur, Turkey, Amasya, Turkey, Ankara, Turkey, Istanbul, Turkey]---14461.539295256609 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Aksehir, Turkey, Ankara, Turkey, Anamur, Turkey, Amasya, Turkey, Istanbul, Turkey]---14461.539295256609 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Aksehir, Turkey, Ankara, Turkey, Amasya, Turkey, Anamur, Turkey, Istanbul, Turkey]---15425.641914940383 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Aksehir, Turkey, Amasya, Turkey, Ankara, Turkey, Anamur, Turkey, Istanbul, Turkey]---15425.641914940383 KM
[Istanbul, Turkey, Adana, Turkey, Afyon, Turkey, Antalya, Turkey, Aksehir, Turkey, Amasya, Turkey, Anamur, Turkey, Ankara, Turkey, Istanbul, Turkey]---16389.74453462416 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Amasya, Turkey, Anamur, Turkey, Ankara, Turkey, Antalya, Turkey, Istanbul, Turkey]---7712.820957470191 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Amasya, Turkey, Anamur, Turkey, Antalya, Turkey, Ankara, Turkey, Istanbul, Turkey]---8676.923577153966 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Amasya, Turkey, Ankara, Turkey, Anamur, Turkey, Antalya, Turkey, Istanbul, Turkey]---8676.923577153966 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Amasya, Turkey, Ankara, Turkey, Antalya, Turkey, Anamur, Turkey, Istanbul, Turkey]---9641.02619683774 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Amasya, Turkey, Antalya, Turkey, Ankara, Turkey, Anamur, Turkey, Istanbul, Turkey]---9641.02619683774 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Amasya, Turkey, Antalya, Turkey, Anamur, Turkey, Ankara, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Anamur, Turkey, Amasya, Turkey, Ankara, Turkey, Antalya, Turkey, Istanbul, Turkey]---8676.923577153966 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Anamur, Turkey, Amasya, Turkey, Antalya, Turkey, Ankara, Turkey, Istanbul, Turkey]---9641.02619683774 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Anamur, Turkey, Ankara, Turkey, Amasya, Turkey, Antalya, Turkey, Istanbul, Turkey]---9641.02619683774 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Anamur, Turkey, Ankara, Turkey, Antalya, Turkey, Amasya, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Anamur, Turkey, Antalya, Turkey, Ankara, Turkey, Amasya, Turkey, Istanbul, Turkey]---10605.128816521514 KM
[Istanbul, Turkey, Adana, Turkey, Aksehir, Turkey, Afyon, Turkey, Anamur, Turkey, Antalya, Turkey, Amasya, Turkey, Ankara, Turkey, Istanbul, Turkey]---11569.231436205288 KM
